,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
0,J0014-3022/UHZ1,"Bogdan et al. (2023), Castellano et al. (2023), Goulding et al. (2023)","https://arxiv.org/abs/2305.15458, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2308.02750",JWST,00:14:16.096,-30:22:40.285,,10.073,0.002,0.002,4e7,6e7,3e7,5e45,,,,,,,,,87.7,7.2,7.2,4.5,2.9,2.2,4.5,2.9,2.2,0.4e8,1.8e8,0.2e8,"F444W, SFR, Mstar from Castellano et al. (2023), z from Goulding et al. (2023)"
1,J0014-3022/UHZ1,"Bogdan et al. (2023), Castellano et al. (2023), Goulding et al. (2023)","https://arxiv.org/abs/2305.15458, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2308.02750",JWST,00:14:16.096,-30:22:40.285,,10.073,0.002,0.002,4e7,6e7,3e7,5e45,,,,,,,,,87.7,7.2,7.2,4.5,2.9,2.2,4.5,2.9,2.2,0.4e8,1.8e8,0.2e8,"F444W, SFR, Mstar from Castellano et al. (2023), z from Goulding et al. (2023)"
2,J0013-3020/GHZ9,"Kovacs et al. (2024), Castellano et al. (2023), Atek et al. (2023)","https://arxiv.org/abs/2403.14745, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2305.01793",JWST,00:13:54.90,-30:20:43.93,,10.37,0.32,1.09,8e7,3.7e7,3.2e7,1e46,0.5e46,0.4e46,,,,,,,40.9,3.9,3.9,,,,,,,3.3e8,2.9e8,2.4e8,"F444W, Mstar, SFR [14.4 (+15.0/-7.3)] from Castellano et al. (2023), SFR [0.56 (+0.23/-0.29)] from Atek et al. (2023)"
3,GNz11,"Maiolino et al. (2023), Bunker et al. (2023), Oesch et al. (2016)","https://arxiv.org/abs/2305.12492, https://arxiv.org/pdf/2302.07256, https://arxiv.org/pdf/1603.00461",JWST,12:36:25.46,+62:14:31.40,,10.6,,,1.6e6,1e0.3,1e0.3,1.08e45,,,,,,,,,,,,31,59,19,31,59,19,,,,"SFR from Bunker et al. (2023), coordinates from Oesch et al. (2016)"
4,J1420+5253/CEERS_01019/CEERS_1019,Larson et al. (2023),https://arxiv.org/abs/2303.08918,JWST,14:20:08.49,+52:53:26.38,,8.679,0.09,0.15,8.913e6,1.198e7,5.111e6,1.259e45,7.363e44,4.646e44,1.2,0.5,0.5,,,,,,,30,,,30,,,,,,
5,J1420+5302/CEERS_01244,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:57.76,+53:02:09.80,,4.478,,,3.2e7,0.3e7,0.2e7,1.9e45,3.8e45,0.6e45,0.46,1.04,0.16,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
6,J0014-3025/GLASS_160133,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,00:14:19.27,-30:25:27.80,,4.015,,,2.3e6,0.1e6,0.1e6,1.1e45,6.1e45,0.9e45,3.68,21.21,2.84,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
7,J0014-3025/GLASS_150029,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,00:14:18.52,-30:25:21.30,,4.583,,,3.7e6,0.2e6,0.3e6,9.1e44,13.8e44,7.1e44,1.89,3.31,1.49,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
8,J1419+5252/CEERS_00746/CEERS 3210,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:19:14.19,+52:52:06.05,,5.624,,,5.8e7,1.5e7,1.3e7,1.1e46,0.1e46,0.2e46,1.47,0.60,0.52,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
9,J1420+5303/CEERS_01665,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:42.77,+53:03:33.07,,4.483,,,1.9e7,0.8e7,0.5e7,4.8e45,7.2e45,3.6e45,1.93,4.61,1.59,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
