,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
0,J1236+6214/JADES-GN+189.11794+62.23552/3608,Maiolino et al. (2024),https://arxiv.org/abs/2308.01230,JWST,12:36:28.31,62:14:07.87,,5.26894,,,6.60693e6,9.242e6,3.51664e6,1.e44,,,0.11,,,,,,,,,,,,,,,log8.38,log0.11,log0.15,"tentative source according to https://arxiv.org/html/2504.03551v1 Juodžbalis et al. (2025), little red dot"
1,J0905+0300,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,09:05:44.65,+03:00:58.80,,6.27,,,4.329e7,4.616e6,4.171e6,,,,,,,-22.55,0.11,0.11,,,,,,,,,,,,,mass using formula [1]
2,J0217-0208,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,02:17:21.59,-02:08:52.60,,6.20,,,7.805e7,2.929e6,2.823e6,,,,,,,-23.19,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
3,J2232+0012,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,22:32:12.03,+00:12:38.40,,6.18,,,5.500e7,5.307e6,4.840e6,,,,,,,-22.81,0.10,0.10,,,,,,,,,,,,,mass using formula [1]
4,J2201+0155,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,22:01:32.07,+01:55:29.00,,6.16,,,6.374e7,2.392e6,2.305e6,,,,,,,-22.97,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
5,J1440-0107,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,14:40:01.30,-01:07:02.20,,6.13,,,4.492e7,4.333e6,3.952e6,,,,,,,-22.59,0.10,0.10,,,,,,,,,,,,,mass using formula [1]
6,J1423-0018,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,14:23:31.71,-00:18:09.10,,6.13,,,2.336e7,4.724e6,3.929e6,,,,,,,-21.88,0.20,0.20,,,,,,,,,,,,,mass using formula [1]
7,J0235-0532,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,02:35:42.42,-05:32:41.60,,6.09,,,6.613e7,3.117e6,2.976e6,,,,,,,-23.01,0.05,0.05,,,,,,,,,,,,,mass using formula [1]
8,J1416+0015,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,14:16:12.71,+00:15:46.20,,6.03,,,3.736e7,3.604e6,3.287e6,,,,,,,-22.39,0.10,0.10,,,,,,,,,,,,,mass using formula [1]
9,J1417+0117,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,14:17:28.67,+01:17:12.40,,6.02,,,5.603e7,2.640e6,2.522e6,,,,,,,-22.83,0.05,0.05,,,,,,,,,,,,,mass using formula [1]
