,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar,comment
0,J1342+0928,"Banados et al. (2018), Venemans et al. (2017), Onoue et al. (2020), Novak et al. (2019), Yang et al. (2021)","https://arxiv.org/abs/1712.01860, https://iopscience.iop.org/article/10.3847/2041-8213/aa943a, https://arxiv.org/pdf/2006.16268, https://iopscience.iop.org/article/10.3847/1538-4357/ab2beb, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",ULAS,13h42m08s.097,+09°28′38″28,,7.5413,0.0007,0.0007,9.1e8,1.4e8,1.3e8,13.3e46,1.1e46,1.1e46,1.1,0.2,0.2,-26.57,0.04,0.04,,,,,,,150,30,30,,"coordinates from Venemens et al. (2017), mass, Edd, M1450 from Onoue et al. (2020), SFR from Novak et al. (2019)"
1,J1243+0100,"Matsuoka et al. (2019), Izumi et al. (2021)","https://arxiv.org/abs/1901.10487, https://arxiv.org/pdf/2104.05738###",HSC,12h43m53s.93,+01°00′38″5,,7.0749,0.001,0.001,3.3e8,2e8,2e8,1.4e46,0.1e46,0.1e46,0.34,0.2,0.2,-24.13,0.08,0.08,,,,220,8,8,742,16,16,,"z, SFR from Izumi et al. (2021)"
2,J1120+0641,"Mortlock et al.(2011), De Rosa et al. (2014), Yang et al. (2021)","https://arxiv.org/abs/1106.6088, https://arxiv.org/pdf/1311.3260, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",ULAS, 11h20m01s.48,+06°41′24.″3,,7.0851,0.0005,0.0005,1.35e9,0.04e9,0.04e9,13.4e46,1.0e46,1.0e46,1.2,0.6,0.5,-26.44,,,,,,,,,,,,,"coordinates from De Rosa et al. (2014), z, M1450, M, L_bol from Yang et al. (2021)"
3,J0038-1527,Wang et al. (2018),https://arxiv.org/abs/1810.11925,DELS,00h38m36s.10,-15°27′23.″6,,7.021,0.005,0.005,1.33e9,0.25e9,0.25e9,2.16e47,,,1.25,0.19,0.19,-27.10,0.08,0.08,,,,,,,,,,,
4,J0252-0503,"Yang et al. (2019), Wang et al (2020)","https://iopscience.iop.org/article/10.3847/1538-3881/ab1be1/meta, https://arxiv.org/abs/2004.10877",DES,,,,7.0,0.001,0.001,1.39e9,1.6e8,1.6e8,1.3e47,0.1e47,0.1e47,0.7,0.1,0.1,-26.50,0.09,0.09,,,,,,,,,,,M1450 from Yang et al. (2019)
5,J2356+0017,Matsuoka et al. (2019),https://arxiv.org/abs/1908.07910,HSC,,,,7.01,,,5.5e8,2.06e7,1.99e7,,,,,,,-25.31,0.04,0.04,,,,,,,,,,,
6,J0313−1806,Wang et al. (2021),https://arxiv.org/abs/2101.03179,PS1+DELS+VHS+WISE,03h13m43s.84,-18°06′36.″4,,7.6423,0.0013,0.0013,1.6e9,0.4e9,0.4e9,1.4e47,0.1e47,0.1e47,0.67,0.14,0.14,-26.13,0.05,0.05,,,,40-240,,,225,25,25,,
7,J1007+2115,Yang et al. (2020),https://arxiv.org/abs/2006.13452,PS1+DELS+UHS+WISE,10h07m58.s26,+21°15′29.″20,,7.5149,0.0004,0.0004,1.5e9,0.2e9,0.2e9,1.9e47,0.1e47,0.1e47,1.06,0.2,0.2,-26.66,0.07,0.07,,,,80-520,,,700,,,,
8,UHZ1,"Bogdan et al. (2023), Castellano et al. (2023), Goulding et al. (2023)","https://arxiv.org/abs/2305.15458, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2308.02750",JWST,0h14m16.s096,-30°22′40.″285,,10.073,0.002,0.002,4e7,6e7,3e7,5e45,,,,,,,,,87.7,7.2,7.2,4.5,2.9,2.2,4.5,2.9,2.2,0.4e8,"F444W, SFR, Mstar from Castellano et al. (2023), z from Goulding et al. (2023)"
9,GHZ9,"Kovacs et al. (2024), Castellano et al. (2023), Atek et al. (2023)","https://arxiv.org/abs/2403.14745, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2305.01793",JWST,00h13m54.s90,-30°20′43.″93,,10.37,0.32,1.09,8e7,3.7e7,3.2e7,1e46,0.5e46,0.4e46,,,,,,,40.9,3.9,3.9,,,,,,,3.3e8,"F444W, Mstar, SFR [14.4 (+15.0/-7.3)] from Castellano et al. (2023), SFR [0.56 (+0.23/-0.29)] from Atek et al. (2023)"
10,GNz11,"Maiolino et al. (2023), Bunker et al. (2023), Oesch et al. (2016)","https://arxiv.org/abs/2305.12492, https://arxiv.org/pdf/2302.07256, https://arxiv.org/pdf/1603.00461",JWST,12h36m25.s46,+62°14′31.″4,,10.6,,,1.6e6,1e0.3,1e0.3,1.08e45,,,,,,,,,,,,31,59,19,31,59,19,,"SFR from Bunker et al. (2023), coordinates from Oesch et al. (2016)"
11,CEERS_1019,Larson et al. (2023),https://arxiv.org/abs/2303.08918,JWST,215d02m07.s41,52°53′26.″38,,8.679,0.09,0.15,8.913e6,1.198e7,5.111e6,1.259e45,7.363e44,4.646e44,1.2,0.5,0.5,,,,,,,30,,,30,,,,
12,J1205−0000,"Onoue et al. (2019), Sawamura et al. (2025), Izumi et al. (2021)","https://arxiv.org/abs/1904.07278, https://arxiv.org/pdf/2502.16858, https://iopscience.iop.org/article/10.3847/1538-4357/abd7ef",HSC,,,,6.7230,0.0003,0.0003,2.2e9,0.2e9,0.6e9,,,,0.16,0.04,0.02,-24.56,0.04,0.04,,,,122,5,5,528,8,8,,
13,J2239+0207,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,22h39m47.s47,+02°07′47.″5,,6.245,0.008,0.007,1.1e9,0.3e9,0.2e9,,,,0.17,0.04,0.05,-24.69,0.04,0.04,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
14,J2216−0016,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,22h16m44.s47,−00°16′50.″1,,6.109,0.007,0.008,0.7e9,0.14e9,0.23e9,,,,0.15,0.05,0.03,-23.82,0.04,0.04,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
15,J1208−0200,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,12h08m59.s23,−02°00′34.″8,,6.144,0.008,0.01,0.71e9,0.24e9,0.52e9,,,,0.24,0.18,0.08,-24.73,0.02,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
16,J0100+2802,"Wu et al Nature 518, 512 (2015), Tripodi et al. (2024)","https://arxiv.org/abs/1502.07418, https://arxiv.org/pdf/2306.01644",SDSS,01h00m13.s024,+28°02′25.″790,,6.3,0.01,0.01,12.4e9,1.9e9,1.9e9,1.62e48,,,0.99,0.22,0.22,-29.26,0.20,0.20,,,,,,,,,,,coordinates from Tripodi et al. (2024)
17,J158–14,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,PSO,10h34m46.s509,–14°25′15.″855,,6.052,0.001,0.001,1.57e9,0.12e9,0.12e9,2.04e47,,,1.01,0.08,0.08,-27.41,,,,,,230,,,,,,,
18,J0330–4025,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,VDES,03h30m27.s920,–40°25′16.″200,,6.239,0.004,0.004,4.96e9,0.51e9,0.51e9,8.91e46,,,0.14,0.01,0.01,-26.42,,,,,,,,,,,,,
19,J2100–1715,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,CFHQS,21h00m54.s616,–17°15′22.″500,,6.082,0.002,0.002,2.18e9,0.21e9,0.21e9,4.37e46,,,0.15,0.02,0.02,-25.55,,,,,,170,,,,,,,
20,J2229+1457,"Eilers et al. (2020), Willott et al. (2015)","https://arxiv.org/abs/2002.01811, https://iopscience.iop.org/article/10.1088/0004-637X/801/2/123#apj509348t2",CFHQS,22h29m01.s649,+14°57′08.″980,,6.144,0.006,0.006,1.44e9,0.25e9,0.25e9,2.29e46,,,0.12,0.02,0.02,-24.78,,,,,,60,8,8,19,10,10,,SFR from Willott et al. (2015)
21,J004+17,"Eilers et al. (2020), ",https://arxiv.org/abs/2002.01811,PSO,00h17m34.s467,+17°05′10.″696,,5.8165,0.0023,0.0023,1.05e9,,,,,,,,,-26.01,,,,,,20,,,,,,,
